topic,lesson,chin_simple,chin_traditional,pinyin,english
"Weather
","Lesson - 5
",如果,NA,rú guǒ,if / in case / in the event that
"Weather
","Lesson - 5
",就,NA,jiù,at once / right away / only / just (emphasis) / as early as / already / as soon as / then / in that case / as many as / even if / to approach / to move towards / to undertake / to engage in / to suffer / subjected to / to accomplish / to take advantage of / to go with (of foods) / with regard to / concerning
"Weather
","Lesson - 5
",从来,從來,cóng lái,always / at all times / never (if used in negative sentence)
"Weather
","Lesson - 5
",如,NA,rú,as / as if / such as
"Weather
","Lesson - 5
",里面,裡面,lǐ miàn,inside / interior / also pr. [li3 mian5]
"Shopping 3
","Lesson - 1
",然,NA,rán,correct / right / so / thus / like this / -ly
"Shopping 3
","Lesson - 1
",但,NA,dàn,but / yet / however / only / merely / still
"Shopping 3
","Lesson - 1
",虽,雖,suī,although / even though
"Shopping 3
","Lesson - 1
",短,NA,duǎn,short / brief / to lack / weak point / fault
"Shopping 3
","Lesson - 1
",长,長,"cháng 

zhǎng","length / long / forever / always / constantly

chief / head / elder / to grow / to develop / to increase / to enhance"
"Shopping 3
","Lesson - 1
",虽然,雖然,suī rán,although / even though / even if
"Shopping 3
","Lesson - 1
",但是,NA,dàn shì,but / however
"Shopping 3
","Lesson - 2
",红,紅,"Hóng 

hóng","surname Hong

red / popular / revolutionary / bonus"
"Shopping 3
","Lesson - 2
",颜色,顏色,yán sè,color / countenance / appearance / facial expression / pigment / dyestuff
"Shopping 3
","Lesson - 2
",穿,NA,chuān,to wear / to put on / to dress / to bore through / to pierce / to perforate / to penetrate / to pass through / to thread
"Shopping 3
","Lesson - 2
",颜,顏,"Yán 

yán","surname Yan

color / face / countenance"
"Shopping 3
","Lesson - 2
",色,NA,"sè 

shǎi","color / CL: 種｜种 / look / appearance / sex

color / dice"
"Shopping 3
","Lesson - 3
",洗,NA,xǐ,to wash / to bathe / to develop (photo)
"Shopping 3
","Lesson - 3
",黄,黃,"Huáng 

huáng","surname Huang or Hwang

yellow / pornographic / to fall through"
"Shopping 3
","Lesson - 3
",白,NA,"Bái 

bái","surname Bai

white / snowy / pure / bright / empty / blank / plain / clear / to make clear / in vain / gratuitous / free of charge / reactionary / anti-communist / funeral / to stare coldly / to write wrong character / to state / to explain / vernacular / spoken lines in opera"
"Shopping 3
","Lesson - 4
",手表,手錶,shǒu biǎo,"wrist watch / CL: 塊｜块, 隻｜只, 個｜个"
"Shopping 3
","Lesson - 4
",卖,賣,mài,to sell / to betray / to spare no effort / to show off or flaunt
"Shopping 3
","Lesson - 4
",帽子,NA,mào zi,hat / cap / (fig.) label / bad name / CL: 頂｜顶
"Shopping 3
","Lesson - 4
",帽,NA,mào,hat / cap
"Shopping 3
","Lesson - 4
",表,NA,"biǎo 

biǎo","exterior surface / family relationship via females / to show (one's opinion) / a model / a table (listing information) / a form / a meter (measuring sth)

wrist or pocket watch"
"Shopping 3
","Lesson - 4
",紫,NA,zǐ,purple / violet / amethyst / Lithospermum erythrorhizon (flowering plant whose root provides red purple dye) / Japanese: murasaki
"People 2
","Lesson - 1
",绍,紹,"Shào 

shào","surname Shao

to continue / to carry on"
"People 2
","Lesson - 1
",介,NA,jiè,to introduce / to lie between / between / shell / armor
"People 2
","Lesson - 1
",介绍,介紹,jiè shào,to introduce (sb to sb) / to give a presentation / to present (sb for a job etc) / introduction
"People 2
","Lesson - 1
",帅,帥,"Shuài 

shuài","surname Shuai

handsome / graceful / smart / commander in chief / (coll.) cool! / sweet!"
"People 2
","Lesson - 2
",笑,NA,xiào,laugh / smile / CL: 個｜个
"People 2
","Lesson - 2
",说话,說話,shuō huà,to speak / to say / to talk / to gossip / to tell stories / talk / word
"People 2
","Lesson - 2
",话,話,huà,"dialect / language / spoken words / speech / talk / words / conversation / what sb said / CL: 種｜种, 席, 句, 口, 番"
"People 2
","Lesson - 3
",聪明,聰明,cōng ming,intelligent / clever / bright / smart / acute (of sight and hearing)
"People 2
","Lesson - 3
",别人,別人,bié ren,other people / others / other person
"People 2
","Lesson - 3
",不但,NA,bù dàn,not only (... but also...)
"People 2
","Lesson - 3
",而且,NA,ér qiě,(not only ...) but also / moreover / in addition / furthermore
"People 2
","Lesson - 3
",聪,聰,cōng,quick at hearing / wise / clever / sharp-witted / intelligent / acute
"People 2
","Lesson - 3
",而,NA,ér,and / as well as / and so / but (not) / yet (not) / (indicates causal relation) / (indicates change of state) / (indicates contrast)
"People 2
","Lesson - 3
",且,NA,qiě,and / moreover / yet / for the time being / to be about to / both (... and...)
"Celebration
","Lesson - 1
",春,NA,"Chūn 

chūn","surname Chun

spring (season) / gay / joyful / youthful / love / lust / life"
"Celebration
","Lesson - 1
",乐,樂,"Lè 

Yuè 

lè 

yuè","surname Le

surname Yue

happy / cheerful / to laugh

music"
"Celebration
","Lesson - 1
",快乐,快樂,kuài lè,happy / merry
"Celebration
","Lesson - 1
",节日,節日,jié rì,holiday / festival / CL: 個｜个
"Celebration
","Lesson - 1
",春节,春節,Chūn jié,Spring Festival (Chinese New Year)
"Celebration
","Lesson - 2
",礼物,禮物,lǐ wù,"gift / present / CL: 件, 個｜个, 份"
"Celebration
","Lesson - 2
",送,NA,sòng,to deliver / to carry / to give (as a present) / to present (with) / to see off / to send
"Celebration
","Lesson - 2
",新年,NA,xīn nián,New Year / CL: 個｜个
"Celebration
","Lesson - 2
",瓶,NA,píng,bottle / vase / pitcher / CL: 個｜个 / classifier for wine and liquids
"Celebration
","Lesson - 2
",白酒,NA,bái jiǔ,"baijiu, a spirit usually distilled from sorghum"
"Celebration
","Lesson - 2
",礼,禮,"Lǐ 

lǐ","surname Li / abbr. for 禮記｜礼记, Classic of Rites

gift / rite / ceremony / CL: 份 / propriety / etiquette / courtesy"
"Celebration
","Lesson - 2
",物,NA,wù,thing / object / matter / abbr. for physics 物理
"Celebration
","Lesson - 2
",过,過,"Guò 

guò 

guo","surname Guo

to cross / to go over / to pass (time) / to celebrate (a holiday) / to live / to get along / excessively / too-

(experienced action marker)"
"Celebration
","Lesson - 3
",干杯,乾杯,gān bēi,to drink a toast / Cheers! (proposing a toast) / Here's to you! / Bottoms up! / lit. dry cup
"Celebration
","Lesson - 3
",祝,NA,"Zhù 

zhù","surname Zhu

to wish / to express good wishes / to pray / (old) wizard"
"Celebration
","Lesson - 3
",法国,法國,Fǎ guó,France / French
"Celebration
","Lesson - 3
",红酒,NA,hóng jiǔ,Red wine
"Celebration
","Lesson - 3
",干,乾,"Gān 

gān 

gān 

gàn","surname Gan

dry / clean / in vain / dried food / foster / adoptive / to ignore

to concern / to interfere / shield / stem

tree trunk / main part of sth / to manage / to work / to do / capable / cadre / to kill (slang) / to fuck (vulgar)"
"Celebration
","Lesson - 3
",法,NA,"Fǎ 

fǎ","France / French / abbr. for 法國｜法国 / Taiwan pr. [Fa4]

law / method / way / Buddhist teaching / Legalist"
"Sports 2
","Lesson - 1
",赛,賽,sài,to compete / competition / match / to surpass / better than / superior to / to excel
"Sports 2
","Lesson - 1
",练,練,liàn,to practice / to train / to drill / to perfect (one's skill) / exercise
"Sports 2
","Lesson - 1
",练习,練習,liàn xí,to practice / exercise / drill / practice / CL: 個｜个
"Sports 2
","Lesson - 1
",比赛,比賽,bǐ sài,"competition (sports etc) / match / CL: 場｜场, 次 / to compete"
"Sports 2
","Lesson - 1
",好在,NA,hǎo zài,luckily / fortunately
"Sports 2
","Lesson - 1
",乒乓球,NA,pīng pāng qiú,table tennis / ping-pong / table tennis ball / CL: 個｜个
"Sports 2
","Lesson - 1
",乒,NA,pīng,(onom.) ping / bing
"Sports 2
","Lesson - 1
",乓,NA,pāng,(onom.) bang
"Sports 2
","Lesson - 2
",参加,參加,cān jiā,to participate / to take part / to join
"Sports 2
","Lesson - 2
",第,NA,dì,"(prefix indicating ordinal number, e.g. first, number two etc) / order / (old) rank in the imperial examinations / mansion / (literary) but / just"
"Sports 2
","Lesson - 2
",参,參,"cān 

shēn","to take part in / to participate / to join / to attend / to counsel / unequal / varied / irregular / uneven / not uniform / abbr. for 參議院｜参议院 Senate, Upper House

ginseng / one of the 28 constellations"
"Sports 2
","Lesson - 2
",网球,網球,wǎng qiú,tennis / tennis ball / CL: 個｜个
"Sports 2
","Lesson - 2
",排球,NA,pái qiú,volleyball / CL: 個｜个
"Sports 2
","Lesson - 2
",加油,NA,jiā yóu,to add oil / to top up with gas / to refuel / to accelerate / to step on the gas / (fig.) to make an extra effort / to cheer sb on
"Sports 2
","Lesson - 2
",排,NA,pái,"a row / a line / to set in order / to arrange / to line up / to eliminate / to drain / to push open / platoon / raft / classifier for lines, rows etc"
"Sports 2
","Lesson - 2
",油,NA,yóu,"oil / fat / grease / petroleum / to apply tung oil, paint or varnish / oily / greasy / glib / cunning"
"Sports 2
","Lesson - 3
",输,輸,shū,to lose / to transport / to donate / to enter (a password)
"Sports 2
","Lesson - 3
",赢,贏,yíng,to beat / to win / to profit
"Sports 2
","Lesson - 3
",失望,NA,shī wàng,disappointed / to lose hope / to despair
"Sports 2
","Lesson - 3
",信心,NA,xìn xīn,confidence / faith (in sb or sth) / CL: 個｜个
"Sports 2
","Lesson - 3
",失,NA,shī,to lose / to miss / to fail
"Sports 2
","Lesson - 3
",信,NA,xìn,letter / mail / CL: 封 / to trust / to believe / to profess faith in / truthful / confidence / trust / at will / at random
"Sports 2
","Lesson - 3
",心,NA,xīn,"heart / mind / intention / center / core / CL: 顆｜颗, 個｜个"
"School
","Lesson - 1
",同,仝,"tóng 

tóng 

tòng","(used in given names) / variant of 同

like / same / similar / together / alike / with

see 衚衕｜胡同"
"School
","Lesson - 1
",课,課,kè,"subject / course / CL: 門｜门 / class / lesson / CL: 堂, 節｜节 / to levy / tax / form of divination"
"School
","Lesson - 1
",室,NA,"Shì 

shì","surname Shi

room / work unit / grave / scabbard / family or clan / one of the 28 constellations of Chinese astronomy"
"School
","Lesson - 1
",教,NA,"Jiào 

jiāo 

jiào","surname Jiao

to teach

religion / teaching / to make / to cause / to tell"
"School
","Lesson - 1
",教室,NA,jiào shì,classroom / CL: 間｜间
"School
","Lesson - 1
",同学,同學,tóng xué,"to study at the same school / fellow student / classmate / CL: 位, 個｜个"
"School
","Lesson - 1
",地理,NA,dì lǐ,geography
"School
","Lesson - 1
",理,NA,lǐ,texture / grain (of wood) / inner essence / intrinsic order / reason / logic / truth / science / natural science (esp. physics) / to manage / to pay attention to / to run (affairs) / to handle / to put in order / to tidy up
"School
","Lesson - 2
",懂,NA,dǒng,to understand / to comprehend
"School
","Lesson - 2
",问题,問題,wèn tí,question / problem / issue / topic / CL: 個｜个
"School
","Lesson - 2
",笔,筆,bǐ,"pen / pencil / writing brush / to write or compose / the strokes of Chinese characters / classifier for sums of money, deals / CL: 支, 枝"
"School
","Lesson - 2
",题,題,"Tí 

tí","surname Ti

topic / problem for discussion / exam question / subject / to inscribe / to mention / CL: 個｜个, 道"
"School
","Lesson - 2
",美术,美術,měi shù,art / fine arts / painting / CL: 種｜种
"School
","Lesson - 2
",术,術,"shù 

zhú","method / technique

various genera of flowers of Asteracea family (daisies and chrysanthemums), including Atractylis lancea"
"School
","Lesson - 2
",上,NA,"shǎng 

shàng","see 上聲｜上声

on top / upon / above / upper / previous / first (of multiple parts) / to climb / to get onto / to go up / to attend (class or university)"
"School
","Lesson - 3
",考试,考試,kǎo shì,to take an exam / exam / CL: 次
"School
","Lesson - 3
",题,題,"Tí 

tí","surname Ti

topic / problem for discussion / exam question / subject / to inscribe / to mention / CL: 個｜个, 道"
"School
","Lesson - 3
",准备,準備,zhǔn bèi,preparation / to prepare / to intend / to be about to / reserve (fund)
"School
","Lesson - 3
",考,攷,"kǎo 

kǎo","to beat / to hit / variant of 考 / to inspect / to test / to take an exam

to check / to verify / to test / to examine / to take an exam / to take an entrance exam for / deceased father"
"School
","Lesson - 3
",准,NA,"zhǔn 

zhǔn","to allow / to grant / in accordance with / in the light of

accurate / standard / definitely / certainly / about to become (bride, son-in-law etc) / quasi- / para-"
"School
","Lesson - 3
",备,備,bèi,to prepare / get ready / to provide or equip
"School
","Lesson - 3
",科学,科學,kē xué,"science / scientific knowledge / scientific / rational / CL: 門｜门, 個｜个, 種｜种"
"School
","Lesson - 3
",科,NA,kē,branch of study / administrative section / division / field / branch / stage directions / family (taxonomy) / rules / laws / to mete out (punishment) / to levy (taxes etc) / to fine sb / CL: 個｜个
"School
","Lesson - 3
",下课,下課,xià kè,to finish class / to get out of class
"Family 3
","Lesson - 1
",爷爷,爺爺,yé ye,(coll.) father's father / paternal grandfather / CL: 個｜个
"Family 3
","Lesson - 1
",奶奶,NA,nǎi nai,(informal) grandma (paternal grandmother) / (respectful) mistress of the house / CL: 位 / (coll.) boobies / breasts
"Family 3
","Lesson - 1
",阿姨,NA,ā yí,maternal aunt / step-mother / childcare worker / nursemaid / woman of similar age to one's parents (term of address used by child) / CL: 個｜个
"Family 3
","Lesson - 1
",爷,爺,yé,grandpa / old gentleman
"Family 3
","Lesson - 1
",阿,NA,"Ā 

ā 

ē","abbr. for Afghanistan 阿富汗

prefix used before monosyllabic names, kinship terms etc to indicate familiarity / used in transliteration / also pr. [a4]

flatter"
"Family 3
","Lesson - 1
",姨,NA,yí,mother's sister / aunt
"Family 3
","Lesson - 2
",兄弟姐妹,NA,xiōng dì jiě mèi,Brothers and Sisters
"Family 3
","Lesson - 2
",关系,關係,guān xi,relation / relationship / to concern / to affect / to have to do with / guanxi / CL: 個｜个
"Family 3
","Lesson - 2
",叔叔,NA,shū shu,father's younger brother / uncle / Taiwan pr. [shu2 shu5] / CL: 個｜个
"Family 3
","Lesson - 2
",父母,NA,fù mǔ,father and mother / parents
"Family 3
","Lesson - 2
",兄,NA,xiōng,elder brother
"Family 3
","Lesson - 2
",叔,NA,shū,uncle / father's younger brother / husband's younger brother / Taiwan pr. [shu2]
"Family 3
","Lesson - 2
",父,NA,fù,father
"Family 3
","Lesson - 2
",母,NA,mǔ,mother / elderly female relative / origin / source / (of animals) female
"Family 3
","Lesson - 3
",像,NA,xiàng,to resemble / to be like / to look as if / such as / appearance / image / portrait / image under a mapping (math.)
"Family 3
","Lesson - 3
",一样,一樣,yī yàng,same / like / equal to / the same as / just like
"Family 3
","Lesson - 3
",亲戚,親戚,qīn qi,"a relative (i.e. family relation) / CL: 門｜门, 個｜个, 位"
"Family 3
","Lesson - 3
",戚,NA,"Qī 

qī","surname Qi

relative / parent / grief / sorrow / battle-axe"
"Family 3
","Lesson - 3
",亲,親,"qīn 

qìng","parent / one's own (flesh and blood) / relative / related / marriage / bride / close / intimate / in person / first-hand / in favor of / pro- / to kiss / (Internet slang) dear

parents-in-law of one's offspring"
"Gourmet 1
","Lesson - 1
",拉面,拉麵,lā miàn,pulled noodles / ramen
"Gourmet 1
","Lesson - 1
",点心,點心,diǎn xin,light refreshments / pastry / dimsum (in Cantonese cooking) / dessert
"Gourmet 1
","Lesson - 1
",小笼包,小籠包,xiǎo lóng bāo,steamed dumpling
"Gourmet 1
","Lesson - 1
",拉,NA,lā,to pull / to play (a bowed instrument) / to drag / to draw / to chat
"Gourmet 1
","Lesson - 1
",笼,籠,"lóng 

lǒng","enclosing frame made of bamboo, wire etc / cage / basket / steamer basket / to cover / to cage / to embrace / to manipulate through trickery

to cover / to cage / covering / also pr. [long2]"
"Gourmet 1
","Lesson - 2
",粥,NA,"yù 

zhōu","see 葷粥｜荤粥

congee / gruel / porridge / CL: 碗"
"Gourmet 1
","Lesson - 2
",油条,油條,yóu tiáo,youtiao (deep-fried breadstick) / CL: 根 / slick and sly person
"Gourmet 1
","Lesson - 2
",豆浆,豆漿,dòu jiāng,soy milk
"Gourmet 1
","Lesson - 2
",油,NA,yóu,"oil / fat / grease / petroleum / to apply tung oil, paint or varnish / oily / greasy / glib / cunning"
"Gourmet 1
","Lesson - 2
",豆,NA,dòu,"bean / pea / CL: 棵, 粒 / sacrificial vessel"
"Gourmet 1
","Lesson - 2
",浆,漿,"jiāng 

jiàng","broth / serum / to starch

starch paste"
"Gourmet 1
","Lesson - 3
",火锅,火鍋,huǒ guō,hotpot
"Gourmet 1
","Lesson - 3
",包子,NA,bāo zi,steamed stuffed bun / CL: 個｜个
"Gourmet 1
","Lesson - 3
",炒饭,炒飯,chǎo fàn,fried rice / (slang) (Tw) to have sex
"Gourmet 1
","Lesson - 3
",锅,鍋,guō,"pot / pan / boiler / CL: 口, 隻｜只"
"Gourmet 1
","Lesson - 3
",炒,NA,chǎo,to sauté / to stir-fry / to speculate / to hype / to fire (sb)
"Time 4
","Lesson - 1
",夏,NA,"Xià 

xià","the Xia or Hsia dynasty c. 2000 BC / Xia of the Sixteen Kingdoms (407-432) / surname Xia

summer"
"Time 4
","Lesson - 1
",冬,NA,"dōng 

Dōng 

dōng","winter

surname Dong

(onom.) beating a drum / rat-a-tat"
"Time 4
","Lesson - 1
",秋,NA,"Qiū 

qiū 

qiū","surname Qiu

autumn / fall / harvest time

see 鞦韆｜秋千"
"Time 4
","Lesson - 1
",春,NA,"Chūn 

chūn","surname Chun

spring (season) / gay / joyful / youthful / love / lust / life"
"Time 4
","Lesson - 1
",后,NA,"Hòu 

hòu 

hòu","surname Hou

empress / queen

back / behind / rear / afterwards / after / later"
"Time 4
","Lesson - 1
",前,NA,qián,front / forward / ahead / first / top (followed by a number) / future / ago / before / BC (e.g. 前293年) / former / formerly
"Time 4
","Lesson - 2
",季,NA,"Jì 

jì","surname Ji

season / the last month of a season / fourth or youngest amongst brothers / classifier for seasonal crop yields"
"Time 4
","Lesson - 2
",澳,NA,"Ào 

ào","abbr. for Macao 澳門｜澳门 / abbr. for Australia 澳大利亞｜澳大利亚

deep bay / cove / harbor"
"Time 4
","Lesson - 2
",亚,亞,yà,Asia / Asian / second / next to / inferior / sub- / Taiwan pr. [ya3]
"Time 4
","Lesson - 2
",季节,季節,jì jié,time / season / period / CL: 個｜个
"Time 4
","Lesson - 2
",澳大利亚,澳大利亞,Ào dà lì yà,Australia
"Time 4
","Lesson - 2
",越来越,越來越,yuè lái yuè,more and more
"Time 4
","Lesson - 2
",前天,NA,qián tiān,the day before yesterday
"Time 4
","Lesson - 2
",后天,後天,hòu tiān,the day after tomorrow / acquired (not innate) / a posteriori
"Time 4
","Lesson - 3
",堵车,堵車,dǔ chē,traffic jam / choking
"Time 4
","Lesson - 3
",大概,NA,dà gài,roughly / probably / rough / approximate / about / general idea
"Time 4
","Lesson - 3
",准时,準時,zhǔn shí,on time / punctual / on schedule
"Time 4
","Lesson - 3
",刚,剛,gāng,hard / firm / strong / just / barely / exactly
"Time 4
","Lesson - 3
",堵,NA,dǔ,to stop up / (to feel) stifled or suffocated / wall / classifier for walls
"Time 4
","Lesson - 3
",概,NA,gài,general / approximate
"Location 5
","Lesson - 1
",城,NA,chéng,"city walls / city / town / CL: 座, 道, 個｜个"
"Location 5
","Lesson - 1
",市,NA,shì,market / city / CL: 個｜个
"Location 5
","Lesson - 1
",附,NA,fù,to add / to attach / to be close to / to be attached
"Location 5
","Lesson - 1
",园,園,"Yuán 

yuán","surname Yuan

land used for growing plants / site used for public recreation"
"Location 5
","Lesson - 1
",城市,NA,chéng shì,city / town / CL: 座
"Location 5
","Lesson - 1
",附近,NA,fù jìn,(in the) vicinity / nearby / neighboring / next to
"Location 5
","Lesson - 1
",公园,公園,gōng yuán,"park (for public recreation) / CL: 個｜个, 座"
"Location 5
","Lesson - 2
",图,圖,tú,diagram / picture / drawing / chart / map / CL: 張｜张 / to plan / to scheme / to attempt / to pursue / to seek
"Location 5
","Lesson - 2
",馆,館,guǎn,building / shop / term for certain service establishments / embassy or consulate / schoolroom (old) / CL: 家
"Location 5
","Lesson - 2
",方,NA,"Fāng 

fāng","surname Fang

square / power or involution (mathematics) / upright / honest / fair and square / direction / side / party (to a contract, dispute etc) / place / method / prescription (medicine) / just when / only or just / classifier for square things / abbr. for square or cubic meter"
"Location 5
","Lesson - 2
",中间,中間,zhōng jiān,between / intermediate / mid / middle
"Location 5
","Lesson - 2
",图书馆,圖書館,tú shū guǎn,"library / CL: 家, 個｜个"
"Location 5
","Lesson - 2
",地方,NA,"dì fāng 

dì fang","region / regional (away from the central administration) / local

area / place / space / room / territory / CL: 處｜处, 個｜个, 塊｜块"
"Location 5
","Lesson - 2
",上面,NA,shàng miàn,on top of / above-mentioned / also pr. [shang4 mian5]
"Location 5
","Lesson - 2
",下面,NA,"xià miàn 

xià miàn","below / under / next / the following / also pr. [xia4 mian5]

to boil noodles"
"Location 5
","Lesson - 2
",咖啡馆,咖啡館,kā fēi guǎn,café / coffee shop / CL: 家
"Shopping 4
","Lesson - 1
",折,NA,"shé 

zhē 

zhé","to break (e.g. stick or bone) / a loss

to turn sth over / to turn upside down / to tip sth out (of a container)

to break / to fracture / to snap / to suffer loss / to bend / to twist / to turn / to change direction / convinced / to convert into (currency) / discount / rebate / tenth (in price) / classifier for theatrical scenes / to fold / accounts book"
"Shopping 4
","Lesson - 1
",角,NA,"Jué 

jiǎo 

jué","surname Jue

angle / corner / horn / horn-shaped / unit of money equal to 0.1 yuan / CL: 個｜个

role (theater) / to compete / ancient three legged wine vessel / third note of pentatonic scale"
"Shopping 4
","Lesson - 1
",花,NA,"Huā 

huā","surname Hua

flower / blossom / CL: 朵, 支, 束, 把, 盆, 簇 / fancy pattern / florid / to spend (money, time)"
"Shopping 4
","Lesson - 1
",打折,NA,dǎ zhé,to give a discount
"Shopping 4
","Lesson - 2
",旧,舊,jiù,old / opposite: new 新 / former / worn (with age)
"Shopping 4
","Lesson - 2
",皮,NA,"Pí 

pí","surname Pi

leather / skin / fur / CL: 張｜张 / pico- (one trillionth) / naughty"
"Shopping 4
","Lesson - 2
",换,換,huàn,to exchange / to change (clothes etc) / to substitute / to switch / to convert (currency)
"Shopping 4
","Lesson - 2
",经,經,"Jīng 

jīng","surname Jing

classics / sacred book / scripture / to pass through / to undergo / to bear / to endure / warp (textile) / longitude / menstruation / channel (TCM) / abbr. for economics 經濟｜经济"
"Shopping 4
","Lesson - 2
",皮鞋,NA,pí xié,leather shoes
"Shopping 4
","Lesson - 2
",经过,經過,jīng guò,to pass / to go through / process / course / CL: 個｜个
"Shopping 4
","Lesson - 3
",退货,退貨,tuì huò,to return merchandise / to withdraw a product
"Shopping 4
","Lesson - 3
",退款,NA,tuì kuǎn,to refund / refund
"Shopping 4
","Lesson - 3
",退,NA,tuì,to retreat / to decline / to move back / to withdraw
"Shopping 4
","Lesson - 3
",货,貨,huò,goods / money / commodity / CL: 個｜个
"Shopping 4
","Lesson - 3
",款,NA,kuǎn,"section / paragraph / funds / CL: 筆｜笔, 個｜个 / classifier for versions or models (of a product)"
"Shopping 4
","Lesson - 3
",袋子,NA,dài zi,bag
"Daily Routine 2
","Lesson - 1
",惯,慣,guàn,accustomed to / used to / indulge / to spoil (a child)
"Daily Routine 2
","Lesson - 1
",刷,NA,"shuā 

shuà","to brush / to paint / to daub / to paste up / to skip class (of students) / to fire from a job

to select"
"Daily Routine 2
","Lesson - 1
",牙,NA,yá,tooth / ivory / CL: 顆｜颗
"Daily Routine 2
","Lesson - 1
",习惯,習慣,xí guàn,habit / custom / usual practice / to be used to / CL: 個｜个
"Daily Routine 2
","Lesson - 1
",刷牙,NA,shuā yá,to brush one's teeth
"Daily Routine 2
","Lesson - 1
",马上,馬上,mǎ shàng,at once / right away / immediately / on horseback (i.e. by military force)
"Daily Routine 2
","Lesson - 1
",以后,以後,yǐ hòu,after / later / afterwards / following / later on / in the future
"Daily Routine 2
","Lesson - 2
",澡,NA,zǎo,bath
"Daily Routine 2
","Lesson - 2
",总,總,zǒng,always / to assemble / gather / total / overall / head / chief / general / in every case
"Daily Routine 2
","Lesson - 2
",洗澡,NA,xǐ zǎo,to bathe / to take a shower
"Daily Routine 2
","Lesson - 2
",一边,一邊,yī biān,one side / either side / on the one hand / on the other hand / doing while
"Daily Routine 2
","Lesson - 2
",总是,總是,zǒng shì,always
"Daily Routine 2
","Lesson - 3
",讲,講,jiǎng,to speak / to explain / to negotiate / to emphasise / to be particular about / as far as sth is concerned / speech / lecture
"Daily Routine 2
","Lesson - 3
",故,NA,gù,"happening / instance / reason / cause / intentional / former / old / friend / therefore / hence / (of people) to die, dead"
"Daily Routine 2
","Lesson - 3
",故事,NA,"gù shì 

gù shi","old practice / CL: 個｜个

narrative / story / tale"
"Daily Routine 2
","Lesson - 3
",以前,NA,yǐ qián,before / formerly / previous / ago
"Daily Routine 2
","Lesson - 3
",做梦,做夢,zuò mèng,to dream / to have a dream / fig. illusion / fantasy / pipe dream
"Daily Routine 2
","Lesson - 3
",梦,夢,mèng,"dream / CL: 場｜场, 個｜个"
"Food 3
","Lesson - 1
",除,NA,chú,to get rid of / to remove / to exclude / to eliminate / to wipe out / to divide / except / not including
"Food 3
","Lesson - 1
",其,NA,qí,his / her / its / their / that / such / it (refers to sth preceding it)
"Food 3
","Lesson - 1
",饺,餃,jiǎo,dumplings with meat filling
"Food 3
","Lesson - 1
",北方,NA,běi fāng,north / the northern part a country / China north of the Yellow River
"Food 3
","Lesson - 1
",除了,NA,chú le,besides / apart from (... also...) / in addition to / except (for)
"Food 3
","Lesson - 1
",其他,NA,qí tā,other / (sth or sb) else / the rest
"Food 3
","Lesson - 1
",饺子,餃子,jiǎo zi,"dumpling / pot-sticker / CL: 個｜个, 隻｜只"
"Food 3
","Lesson - 2
",辣,NA,là,hot (spicy) / pungent
"Food 3
","Lesson - 2
",极,極,jí,"extremely / pole (geography, physics) / utmost / top"
"Food 3
","Lesson - 2
",苦,NA,kǔ,bitter / hardship / pain / to suffer / to bring suffering to / painstakingly
"Food 3
","Lesson - 2
",盐,鹽,yán,salt / CL: 粒
"Food 3
","Lesson - 3
",咸,NA,"Xián 

xián 

xián","surname Xian

all / everyone / each / widespread / harmonious

salted / salty / stingy / miserly"
"Food 3
","Lesson - 3
",南,NA,"Nán 

nán","surname Nan

south"
"Food 3
","Lesson - 3
",甜,NA,tián,sweet
"Food 3
","Lesson - 3
",南方,NA,nán fāng,south / the southern part of the country / the South
"Food 3
","Lesson - 3
",难吃,難吃,nán chī,unpalatable
"People 3
","Lesson - 1
",长,長,"cháng 

zhǎng","length / long / forever / always / constantly

chief / head / elder / to grow / to develop / to increase / to enhance"
"People 3
","Lesson - 1
",级,級,jí,"level / grade / rank / step (of stairs) / CL: 個｜个 / classifier: step, level"
"People 3
","Lesson - 1
",个子,個子,gè zi,height / stature / build / size
"People 3
","Lesson - 1
",年级,年級,nián jí,"grade / year (in school, college etc) / CL: 個｜个"
"People 3
","Lesson - 1
",小学,小學,xiǎo xué,elementary school / primary school / CL: 個｜个
"People 3
","Lesson - 1
",初中,NA,chū zhōng,junior high school / abbr. for 初級中學｜初级中学
"People 3
","Lesson - 1
",初,NA,chū,at first / (at the) beginning / first / junior / basic
"People 3
","Lesson - 2
",轻,輕,qīng,light / easy / gentle / soft / reckless / unimportant / frivolous / small in number / unstressed / neutral / to disparage
"People 3
","Lesson - 2
",较,較,jiào,to compare / to dispute / compared to / (before adj.) relatively / comparatively / rather / also pr. [jiao3]
"People 3
","Lesson - 2
",年轻,年輕,nián qīng,young
"People 3
","Lesson - 2
",老,NA,lǎo,prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family or to indicate affection or familiarity / old (of people) / venerable (person) / experienced / of long standing / always / all the time / of the past / very / outdated / (of meat etc) tough
"People 3
","Lesson - 2
",比较,比較,bǐ jiào,to compare / to contrast / comparatively / relatively / quite / comparison
"People 3
","Lesson - 2
",眼镜,眼鏡,yǎn jìng,spectacles / eyeglasses / CL: 副
"People 3
","Lesson - 2
",戴,NA,"Dài 

dài","surname Dai

to put on or wear (glasses, hat, gloves etc) / to respect / to bear / to support"
"People 3
","Lesson - 2
",镜,鏡,jìng,mirror / lens
